epoch,phase,source_best_epoch,total_loss,data_loss,ode_loss,ic_loss,forcing_loss,smooth_loss,d_smooth_loss,weighted_data_loss,weighted_ode_loss,weighted_ic_loss,weighted_forcing_loss,weighted_smooth_loss,weighted_d_smooth_loss,train_R2,all_R2,test_R2,optimizer_loss_before_step,summary_train_R2,summary_RMSE,summary_MAE
275,train,,0.018232768401503563,0.014163397252559662,79.74853515625,0.0007939038332551718,0.025017092004418373,5.2629573474405333e-05,7.785270281601697e-05,0.014163397252559662,0.003987426869571209,7.939038187032565e-05,2.5017091047629947e-06,5.262957714080585e-08,3.8926351031420836e-10,0.8515565211264686,0.8515565211264686,,0.017847096547484398,,,
300,train,,0.01610708050429821,0.011378026567399502,93.60175323486328,0.00045773255988024175,0.031182678416371346,7.651885971426964e-05,9.201218199450523e-05,0.011378026567399502,0.004680087324231863,4.5773256715619937e-05,3.1182678412733367e-06,7.65188659102023e-08,4.6006090603789573e-10,0.8664490448283202,0.8664490448283202,,0.01605554111301899,,,
325,train,,0.01584669016301632,0.010990331880748272,96.2748031616211,0.00039238089811988175,0.032964762300252914,8.297331078210846e-05,9.504202171228826e-05,0.010990331880748272,0.004813740029931068,3.9238089811988175e-05,3.2964760521281278e-06,8.297331532958196e-08,4.752100934979353e-10,0.8708192332621605,0.8708192332621605,,0.01585051231086254,,,
350,train,,0.015792684629559517,0.010987240821123123,95.35681915283203,0.0003444839094299823,0.030793972313404083,7.632643246324733e-05,9.436382970307022e-05,0.010987240821123123,0.004767840728163719,3.444839239818975e-05,3.079397174587939e-06,7.632643672650374e-08,4.718191393138227e-10,0.8705539399146524,0.8705539399146524,,0.015793398022651672,,,
375,train,,0.015762075781822205,0.010939416475594044,95.73579406738281,0.00033076986437663436,0.027286585420370102,6.538742309203371e-05,9.491649689152837e-05,0.010939416475594044,0.004786789417266846,3.30769871652592e-05,2.7286585009278497e-06,6.538742525208363e-08,4.745824844221147e-10,0.8708748443637292,0.8708748443637292,,0.01576303504407406,,,
400,train,,0.015788456425070763,0.01109449565410614,92.76763153076172,0.0005313248257152736,0.023910416290163994,5.521711864275858e-05,9.192829020321369e-05,0.01109449565410614,0.00463838130235672,5.3132484026718885e-05,2.3910415620775893e-06,5.521712154177294e-08,4.5964143602361673e-10,0.8663954969279809,0.8663954969279809,,0.016385944560170174,,,
425,train,,0.01592889614403248,0.011348292231559753,90.69387817382812,0.00043651871965266764,0.022096436470746994,4.9700647650752217e-05,8.98983926163055e-05,0.011348292231559753,0.004534693900495768,4.3651871237671e-05,2.209643525930005e-06,4.970064892972914e-08,4.4949194366594725e-10,0.8685297846030171,0.8685297846030171,,0.015794938430190086,,,
450,train,,0.015746919438242912,0.010958634316921234,95.07454681396484,0.0003241256927140057,0.02100033313035965,4.607664232025854e-05,9.44510247791186e-05,0.010958634316921234,0.004753727000206709,3.241256854380481e-05,2.100033270835411e-06,4.607664294553615e-08,4.72255123895593e-10,0.8710328877346987,0.8710328877346987,,0.015743616968393326,,,
475,train,,0.015718765556812286,0.010924027301371098,95.27764129638672,0.0002885809517465532,0.019548552110791206,4.193793938611634e-05,9.47686203289777e-05,0.010924027301371098,0.004763882141560316,2.885809590225108e-05,1.954855179064907e-06,4.1937941119840616e-08,4.738430758877143e-10,0.8709761514795489,0.8709761514795489,,0.015719708055257797,,,
500,train,,0.015973396599292755,0.011525243520736694,87.70408630371094,0.0006114669376984239,0.017657501623034477,3.681240923469886e-05,8.711339614819735e-05,0.011525243520736694,0.004385204054415226,6.114669668022543e-05,1.7657500848144991e-06,3.68124126737257e-08,4.355669713795862e-10,0.8633323567984282,0.8633323567984282,,0.016297578811645508,,,
525,train,,0.015740280970931053,0.010939957574009895,95.29521179199219,0.00033898971742019057,0.016319172456860542,3.3808966691140085e-05,9.494809637544677e-05,0.010939957574009895,0.0047647603787481785,3.389897392480634e-05,1.6319172573275864e-06,3.380896984594983e-08,4.747404691585189e-10,0.871334198954005,0.871334198954005,,0.01578141376376152,,,
